pair,ticker_a,ticker_b,direction,entry_date,exit_date,entry_zscore,exit_zscore,holding_days,pnl,pnl_pct,exit_reason
KO/MCD,KO,MCD,LONG_SPREAD,2021-12-13 00:00:00,2021-12-17 00:00:00,-2.44,-0.401,4,76.52,0.11,SIGNAL
KO/MCD,KO,MCD,LONG_SPREAD,2021-12-17 00:00:00,2022-01-18 00:00:00,-2.44,-3.744,32,-794.82,-1.14,STOP_LOSS
AAPL/MCD,AAPL,MCD,LONG_SPREAD,2022-02-14 00:00:00,2022-02-16 00:00:00,-2.571,-3.633,2,147.82,0.21,STOP_LOSS
MSFT/MCD,MSFT,MCD,LONG_SPREAD,2022-02-14 00:00:00,2022-03-18 00:00:00,-2.437,-0.489,32,1287.63,1.84,SIGNAL
PFE/MRK,PFE,MRK,LONG_SPREAD,2022-03-14 00:00:00,2022-03-28 00:00:00,-2.362,-3.657,14,-314.09,-0.45,STOP_LOSS
GOOGL/MCD,GOOGL,MCD,LONG_SPREAD,2022-02-14 00:00:00,2022-04-01 00:00:00,-2.477,-1.415,46,678.24,0.97,MAX_HOLD
KO/PEP,KO,PEP,SHORT_SPREAD,2022-03-28 00:00:00,2022-04-01 00:00:00,2.432,3.558,4,-262.01,-0.37,STOP_LOSS
AAPL/MCD,AAPL,MCD,LONG_SPREAD,2022-02-16 00:00:00,2022-04-04 00:00:00,-2.571,-1.183,47,624.57,0.89,MAX_HOLD
KO/PEP,KO,PEP,SHORT_SPREAD,2022-04-01 00:00:00,2022-04-04 00:00:00,2.432,3.704,3,-125.37,-0.18,STOP_LOSS
AAPL/MSFT,AAPL,MSFT,LONG_SPREAD,2022-05-09 00:00:00,2022-05-13 00:00:00,-2.135,-3.526,4,-277.67,-0.4,STOP_LOSS
PEP/WMT,PEP,WMT,LONG_SPREAD,2022-05-09 00:00:00,2022-05-25 00:00:00,-2.145,-3.829,16,-315.82,-0.45,STOP_LOSS
AAPL/MSFT,AAPL,MSFT,LONG_SPREAD,2022-05-13 00:00:00,2022-06-06 00:00:00,-2.135,-0.327,24,381.13,0.54,SIGNAL
